User Name,Time limit for each question,Score(%),Score 1,Attempt Date,Taken Time,What is your gender?,How old are you?,"An object with a mass of 2 kg is lifted to a height of 10 meters. After being released, how much kinetic energy will the object have just before hitting the ground? (Assume g9.8m/s^2 and ignore air resistance)",Answer,Time 1,How confident are you in your answers,Which hormone is responsible for triggering ovulation during the menstrual cycle?,Answer.1,Time 2,How confident are you in your answers.1,Taken Time (2),Score(%) (2),Score 2,Which of the following is equivalent to,Answer.2,Time 3,How confident are you?,What are characteristics of polynomial functions and other nonlinear graphs?,Answer.3,Time 4,How confident are you in your answers.2,The collapse of Communist rule throughout Eastern Europe occurred peacefully in all of the following countries EXCEPT,Answer.4,Time 5,How confident are you in your answers.3
Guest1,2 min,14.2857142,1,11-6-2024 12:43:26 PM,0:3:27,Female,28,Incorrect,,00:02:00,Not at all confident,Correct,Luteinizing hormone (LH),00:01:06,Slightly confident,0:6:4,33.3333333,1,Incorrect,,00:02:00,Not at all confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:50,Not at all confident,Incorrect,Hungary,00:02:00,Not at all confident
Guest2,2 min,14.2857142,1,11-6-2024 09:56:16 AM,0:3:3,Female,25,Correct,196 J,00:01:17,Quite confident,Incorrect,Estrogen,00:01:13,Somewhat confident,0:1:57,33.3333333,1,Correct,Option 4,00:01:16,Not at all confident,Incorrect,Polynomial functions are linear and have only one x-intercept.,00:00:23,Not at all confident,Incorrect,,00:00:02,Not at all confident
Guest3,2 min,14.2857142,1,11-6-2024 09:40:01 AM,0:4:39,Male,26,Incorrect,,00:02:00,Not at all confident,Correct,Luteinizing hormone (LH),00:01:48,Somewhat confident,0:5:54,33.3333333,1,Correct,Option 4,00:01:59,Not at all confident,Incorrect,Rational functions have their input in the numerator of an expression.,00:01:48,Slightly confident,Incorrect,East Germany,00:01:54,Not at all confident
Guest4,2 min,14.2857142,1,11-6-2024 09:25:58 AM,0:3:7,Male,23,Incorrect,98 J,00:00:51,Somewhat confident,Correct,Luteinizing hormone (LH),00:01:54,Quite confident,0:4:24,66.6666666,2,Correct,Option 4,00:00:33,Slightly confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:24,Slightly confident,Incorrect,Czechoslovakia,00:01:54,Not at all confident
Guest5,2 min,28.5714285,1,11-6-2024 09:11:37 AM,0:3:3,Male,22,Correct,196 J,00:01:45,Extremely confident,Correct,Luteinizing hormone (LH),00:01:01,Extremely confident,0:3:21,100.0,3,Correct,Option 4,00:00:20,Extremely confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:00:55,Extremely confident,Correct,Romania,00:01:55,Quite confident
Guest6,2 min,14.2857142,1,11-6-2024 08:58:58 AM,0:4:4,Male,22,Correct,196 J,00:01:51,Quite confident,Incorrect,Follicle-stimulating hormone (FSH),00:01:40,Quite confident,0:3:20,100.0,3,Correct,Option 4,00:00:42,Extremely confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:00:46,Quite confident,Correct,Romania,00:01:39,Extremely confident
Guest7,2 min,0.0,0,10-30-2024 12:54:55 PM,0:3:21,Male,24,Incorrect,19.6 J,00:00:56,Extremely confident,Incorrect,Estrogen,00:01:34,Not at all confident,0:4:32,66.6666666,2,Correct,Option 4,00:01:00,Extremely confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:25,Somewhat confident,Incorrect,Czechoslovakia,00:01:55,Slightly confident
Guest8,2 min,14.2857142,1,10-30-2024 12:33:11 PM,0:4:39,Male,27,Correct,196 J,00:02:00,Somewhat confident,Incorrect,Estrogen,00:01:24,Quite confident,0:6:33,100.0,3,Correct,Option 4,00:02:00,Quite confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:39,Quite confident,Correct,Romania,00:02:00,Extremely confident
Guest9,2 min,14.2857142,1,10-30-2024 12:08:09 PM,0:3:58,Male,26,Correct,196 J,00:01:40,Quite confident,Incorrect,Estrogen,00:01:53,Not at all confident,0:4:20,66.6666666,2,Incorrect,Option 2,00:01:55,Not at all confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:33,Not at all confident,Correct,Romania,00:00:39,Extremely confident
Guest10,2 min,28.5714285,2,10-30-2024 11:25:22 AM,0:1:42,Female,24,Correct,196 J,00:00:42,Extremely confident,Correct,Luteinizing hormone (LH),00:00:46,Extremely confident,0:4:51,100.0,3,Correct,Option 4,00:01:14,Somewhat confident,Correct,"A polynomial function can be represented in factored form, which shows its x-intercepts as zeros of the function.",00:01:55,Quite confident,Correct,Romania,00:01:31,Extremely confident
