Time limit for each question,The collapse of Communist rule throughout Eastern Europe occurred peacefully in all of the following countries EXCEPT,Time Limit Group
2 Min,0,Time Limit
2 Min,0,Time Limit
2 Min,0,Time Limit
2 Min,0,Time Limit
2 Min,1,Time Limit
2 Min,1,Time Limit
2 Min,0,Time Limit
2 Min,1,Time Limit
2 Min,1,Time Limit
2 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
4 Min,1,Time Limit
No time limit,0,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
No time limit,0,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
No time limit,1,No Time Limit
